id,category,fullPhrase,fragments
phrase_001,Cotidiana,El café se enfrió mientras buscaba mis llaves.,El café|se enfrió|mientras|buscaba|mis llaves|.
phrase_002,Cotidiana,Siempre encuentro el control remoto debajo del almohadón.,Siempre|encuentro|el control remoto|debajo|del almohadón|.
phrase_003,Cotidiana,"La alarma sonó, pero mi voluntad siguió durmiendo.","La alarma|sonó|,|pero|mi voluntad|siguió durmiendo|."
phrase_004,Cotidiana,Hoy ordené el escritorio y perdí todo lo importante.,Hoy|ordené|el escritorio|y|perdí|todo lo importante|.
phrase_005,Cotidiana,Salí temprano y llegué tarde de todos modos.,Salí temprano|y|llegué tarde|de todos modos|.
phrase_006,Humor,Mi gato me ignora con una eficiencia admirable.,Mi gato|me ignora|con|una eficiencia|admirable|.
phrase_007,Humor,Cociné una receta fácil y ensucié once platos.,Cociné|una receta fácil|y|ensucié|once platos|.
phrase_008,Humor,¡El lunes llegó sin que nadie lo invitara!,¡|El lunes|llegó|sin que nadie|lo invitara|!
phrase_009,Humor,Mi planta sobrevivió gracias a su enorme espíritu de lucha.,Mi planta|sobrevivió|gracias a|su enorme|espíritu de lucha|.
phrase_010,Humor,"Intenté ser productivo, pero internet tenía otros planes.","Intenté|ser productivo|,|pero|internet|tenía otros planes|."
phrase_011,Motivación,Cada paso pequeño también te acerca a una meta grande.,Cada paso pequeño|también|te acerca|a una meta grande|.
phrase_012,Motivación,"No necesitas hacerlo perfecto, solo necesitas empezar.","No necesitas|hacerlo perfecto|,|solo|necesitas empezar|."
phrase_013,Motivación,La constancia convierte los intentos en resultados.,La constancia|convierte|los intentos|en resultados|.
phrase_014,Motivación,Hoy puede ser el comienzo de algo que todavía no imaginas.,Hoy puede ser|el comienzo|de algo|que todavía|no imaginas|.
phrase_015,Motivación,"Respira, ajusta el rumbo y vuelve a intentarlo.","Respira|,|ajusta el rumbo|y|vuelve a intentarlo|."
phrase_016,Tecnología,El teléfono se actualizó justo cuando más lo necesitaba.,El teléfono|se actualizó|justo cuando|más lo necesitaba|.
phrase_017,Tecnología,Una buena contraseña protege más de lo que parece.,Una buena contraseña|protege|más de lo que|parece|.
phrase_018,Tecnología,"La nube guardó mis archivos, pero no mis excusas.","La nube|guardó mis archivos|,|pero no|mis excusas|."
phrase_019,Tecnología,¿Quién apagó el wifi en medio de la reunión?,¿|Quién apagó|el wifi|en medio|de la reunión|?
phrase_020,Tecnología,El robot aprendió a barrer y luego pidió vacaciones.,El robot|aprendió a barrer|y luego|pidió vacaciones|.
phrase_021,Naturaleza,La lluvia dibujó caminos sobre el vidrio.,La lluvia|dibujó caminos|sobre|el vidrio|.
phrase_022,Naturaleza,El bosque guardaba un silencio lleno de sonidos.,El bosque|guardaba|un silencio|lleno de sonidos|.
phrase_023,Naturaleza,Las nubes cambiaron de forma antes de cruzar la montaña.,Las nubes|cambiaron de forma|antes de|cruzar la montaña|.
phrase_024,Naturaleza,Una hoja cayó despacio y el otoño pareció comenzar.,Una hoja|cayó despacio|y|el otoño|pareció comenzar|.
phrase_025,Naturaleza,El río avanza sin preguntar cuánto falta.,El río|avanza|sin preguntar|cuánto falta|.
